MfgComment,PartID,Description
CN7,2550-0015,"CONN,MS,TH,IEEE1394,6CKT,FLATDIP,2MM,RA"
"CN1, CN2",2550-0388,"CONN,FT5,MALE,0.5MM-PITCH,RA,30P"
CN6,2550-0407,"CONN,MICRO-SD,SMD,RA,8P"
CN4,2560-0038,"CONN,TH,RJ45,1PORT,8P8C,100MV,100KHZ,RA"
"R487, R524",2220-0056,"RES,SMD,7.5K,1%,0.1W,0603"
R451,2220-0054,"RES,SMD,4.64K,1%,0.1W,0603"
PCB Board,81263-0110-00-04,"DEVICE PCB,CAM-G3.1"
R542,2220-0289,"RES,SMD,5.76K,1%,0.1W,0603"
"C9, C24, C43, C45, C55, C58, C60",2230-0185,"CAP,SMD,CER,10UF,20%,35V,0603"
"C72, C73, C77, C591, C652, C655",2230-0186,"CAP,SMD,CER,10UF,20%,10V,0402"
C65,2250-0057,"DIODE-ZENER,SMD,2.4V,300MV,SOD-323-2"
R547,2220-0225,"RES,SMD,330K,1%,0.1W,0603"
